Sample Name, Sample-2
Time, April 01 12:01:44 2022
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 200.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
908.0, 1.4761, 3.34
909.0, 1.4731, 3.36
910.0, 1.4743, 3.36
911.0, 1.4694, 3.39
912.0, 1.4694, 3.39
913.0, 1.4671, 3.41
914.0, 1.4635, 3.44
915.0, 1.4646, 3.43
916.0, 1.4628, 3.44
917.0, 1.4644, 3.43
918.0, 1.4618, 3.45
919.0, 1.4592, 3.47
920.0, 1.4608, 3.46
921.0, 1.4528, 3.53
922.0, 1.4565, 3.50
923.0, 1.4507, 3.54
924.0, 1.4528, 3.52
925.0, 1.4497, 3.55
926.0, 1.4519, 3.53
927.0, 1.4424, 3.61
928.0, 1.4468, 3.57
929.0, 1.4388, 3.64
930.0, 1.4463, 3.58
931.0, 1.4401, 3.63
932.0, 1.4354, 3.67
933.0, 1.4388, 3.64
934.0, 1.4360, 3.66
935.0, 1.4324, 3.69
936.0, 1.4327, 3.69
937.0, 1.4339, 3.68
938.0, 1.4309, 3.71
939.0, 1.4310, 3.71
940.0, 1.4318, 3.70
941.0, 1.4279, 3.73
942.0, 1.4284, 3.73
943.0, 1.4262, 3.75
944.0, 1.4266, 3.74
945.0, 1.4261, 3.75
946.0, 1.4200, 3.80
947.0, 1.4206, 3.80
948.0, 1.4207, 3.80
949.0, 1.4176, 3.82
950.0, 1.4181, 3.82
951.0, 1.4068, 3.92
952.0, 1.4081, 3.91
953.0, 1.4056, 3.93
954.0, 1.4047, 3.94
955.0, 1.4040, 3.94
956.0, 1.4051, 3.93
957.0, 1.4001, 3.98
958.0, 1.4015, 3.97
959.0, 1.3967, 4.01
960.0, 1.3995, 3.99
961.0, 1.3961, 4.02
962.0, 1.3964, 4.01
963.0, 1.3948, 4.03
964.0, 1.3947, 4.03
965.0, 1.3918, 4.06
966.0, 1.3921, 4.05
967.0, 1.3914, 4.06
968.0, 1.3909, 4.07
969.0, 1.3945, 4.03
970.0, 1.3874, 4.10
971.0, 1.3895, 4.08
972.0, 1.3833, 4.14
973.0, 1.3868, 4.10
974.0, 1.3825, 4.15
975.0, 1.3885, 4.09
976.0, 1.3827, 4.14
977.0, 1.3829, 4.14
978.0, 1.3833, 4.14
979.0, 1.3820, 4.15
980.0, 1.3827, 4.14
981.0, 1.3810, 4.16
982.0, 1.3743, 4.22
983.0, 1.3784, 4.18
984.0, 1.3777, 4.19
985.0, 1.3745, 4.22
986.0, 1.3746, 4.22
987.0, 1.3742, 4.22
988.0, 1.3747, 4.22
989.0, 1.3701, 4.26
990.0, 1.3702, 4.26
991.0, 1.3700, 4.27
992.0, 1.3693, 4.27
993.0, 1.3726, 4.24
994.0, 1.3687, 4.28
995.0, 1.3649, 4.32
996.0, 1.3643, 4.32
997.0, 1.3544, 4.42
998.0, 1.3538, 4.43
999.0, 1.3513, 4.45
1000.0, 1.3519, 4.45
1001.0, 1.3508, 4.46
1002.0, 1.3454, 4.51
1003.0, 1.3454, 4.51
1004.0, 1.3462, 4.51
1005.0, 1.3462, 4.51
1006.0, 1.3449, 4.52
1007.0, 1.3428, 4.54
1008.0, 1.3447, 4.52
1009.0, 1.3384, 4.59
1010.0, 1.3405, 4.57
1011.0, 1.3397, 4.57
1012.0, 1.3374, 4.60
1013.0, 1.3410, 4.56
1014.0, 1.3383, 4.59
1015.0, 1.3346, 4.63
1016.0, 1.3334, 4.64
1017.0, 1.3332, 4.64
1018.0, 1.3335, 4.64
1019.0, 1.3338, 4.64
1020.0, 1.3312, 4.66
1021.0, 1.3295, 4.68
1022.0, 1.3266, 4.71
1023.0, 1.3284, 4.69
1024.0, 1.3276, 4.70
1025.0, 1.3271, 4.71
1026.0, 1.3259, 4.72
1027.0, 1.3245, 4.74
1028.0, 1.3202, 4.78
1029.0, 1.3172, 4.82
1030.0, 1.3162, 4.83
1031.0, 1.3086, 4.91
1032.0, 1.3108, 4.89
1033.0, 1.3075, 4.93
1034.0, 1.3065, 4.94
1035.0, 1.3156, 4.83
1036.0, 1.3161, 4.83
1037.0, 1.3165, 4.82
1038.0, 1.3126, 4.87
1039.0, 1.3125, 4.87
