WL(nm);Abs;T%
949.0;1.0317;9.3
950.0;1.0316;9.3
951.0;1.0322;9.29
952.0;1.0312;9.31
953.0;1.0296;9.34
954.0;1.0263;9.41
955.0;1.0239;9.46
956.0;1.0212;9.52
957.0;1.0212;9.52
958.0;1.0189;9.57
959.0;1.0173;9.61
960.0;1.014;9.68
961.0;1.012;9.73
962.0;1.013;9.71
963.0;1.012;9.73
964.0;1.0102;9.77
965.0;1.0094;9.79
966.0;1.0063;9.86
967.0;1.0049;9.89
968.0;1.0051;9.88
969.0;1.0036;9.92
970.0;1.0022;9.95
971.0;0.9979;10.05
972.0;0.9968;10.07
973.0;0.9967;10.08
974.0;0.995;10.12
975.0;0.994;10.14
976.0;0.9925;10.17
977.0;0.9916;10.2
978.0;0.9925;10.18
979.0;0.9899;10.24
980.0;0.9883;10.27
981.0;0.9863;10.32
982.0;0.9854;10.34
983.0;0.9842;10.37
984.0;0.9817;10.43
985.0;0.9803;10.46
986.0;0.9803;10.46
987.0;0.9784;10.51
988.0;0.9775;10.53
989.0;0.9757;10.58
990.0;0.9748;10.6
991.0;0.9725;10.65
992.0;0.9734;10.63
993.0;0.9715;10.68
994.0;0.9703;10.71
995.0;0.9696;10.72
996.0;0.9687;10.75
997.0;0.9659;10.82
998.0;0.964;10.86
999.0;0.9626;10.9
1000.0;0.9609;10.94
1001.0;0.9596;10.97
1002.0;0.9591;10.99
1003.0;0.9588;10.99
1004.0;0.9575;11.03
1005.0;0.9555;11.08
1006.0;0.9548;11.1
1007.0;0.9534;11.13
1008.0;0.9528;11.15
1009.0;0.9507;11.2
1010.0;0.948;11.27
1011.0;0.9455;11.34
1012.0;0.9438;11.38
1013.0;0.9423;11.42
1014.0;0.9408;11.46
1015.0;0.9406;11.46
1016.0;0.9394;11.5
1017.0;0.9377;11.54
1018.0;0.9363;11.58
1019.0;0.9363;11.58
1020.0;0.935;11.62
1021.0;0.9328;11.67
1022.0;0.9326;11.68
1023.0;0.9307;11.73
1024.0;0.9314;11.71
1025.0;0.9306;11.73
1026.0;0.9277;11.81
1027.0;0.9265;11.85
1028.0;0.9258;11.86
1029.0;0.9251;11.88
1030.0;0.9228;11.94
1031.0;0.9222;11.96
1032.0;0.9222;11.96
1033.0;0.9214;11.98
1034.0;0.9219;11.97
1035.0;0.9207;12.0
1036.0;0.9201;12.02
1037.0;0.9191;12.05
1038.0;0.918;12.08
1039.0;0.9181;12.08
1040.0;0.9172;12.1
1041.0;0.9156;12.15
1042.0;0.9168;12.11
1043.0;0.9154;12.15
1044.0;0.914;12.19
1045.0;0.9139;12.19
1046.0;0.9134;12.21
1047.0;0.9084;12.35
1048.0;0.9058;12.42
1049.0;0.9061;12.41
1050.0;0.9053;12.44
1051.0;0.9039;12.48
1052.0;0.9048;12.45
1053.0;0.9042;12.47
1054.0;0.9034;12.49
1055.0;0.9024;12.52
1056.0;0.9022;12.53
1057.0;0.9026;12.51
1058.0;0.9018;12.54
1059.0;0.9012;12.56
1060.0;0.901;12.56
1061.0;0.9015;12.55
1062.0;0.8981;12.64
1063.0;0.8938;12.77
1064.0;0.8988;12.62
1065.0;0.8945;12.75
1066.0;0.8927;12.8
1067.0;0.8917;12.83
1068.0;0.8915;12.84
1069.0;0.891;12.85
1070.0;0.891;12.85
1071.0;0.8914;12.84
1072.0;0.8915;12.84
1073.0;0.8921;12.82
1074.0;0.8926;12.8
1075.0;0.8896;12.89
1076.0;0.8838;13.07
1077.0;0.8839;13.07
1078.0;0.8841;13.06
1079.0;0.883;13.09
1080.0;0.8838;13.07
1081.0;0.8834;13.08
1082.0;0.8842;13.05
1083.0;0.8851;13.03
1084.0;0.8862;13.0
1085.0;0.8862;13.0
1086.0;0.8855;13.02
1087.0;0.8869;12.97
1088.0;0.8821;13.12
1089.0;0.8755;13.32
1090.0;0.8729;13.4
1091.0;0.874;13.37
1092.0;0.875;13.34
1093.0;0.874;13.37
1094.0;0.8767;13.28
1095.0;0.878;13.24
1096.0;0.8784;13.23
1097.0;0.8793;13.2
1098.0;0.8804;13.17
1099.0;0.8805;13.17
1100.0;0.8819;13.13
